Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Seller Type,Charging Type,Date Listed,Source
BYD,BYD Han,2024,58228.4747679117,9666.0,Good,Kampot,White,76.9/85.4,500-610,180,3.9,Private,GB-T/CCS2,26-12-2020,Synthetic (New Formula)
Kia,Kia EV6,2020,56482.62999387088,20332.0,Excellent,Phnom Penh,White,77.4,484,168,7.1,Dealer,GB-T/CCS2,7/1/2025,Synthetic (New Formula)
BYD,BYD M9,2023,64407.53475581198,22097.0,Good,Phnom Penh,Black,52,180 PHEV,180,,Private,GB-T/CCS2,4/7/2025,Synthetic (New Formula)
BYD,BYD Han,2023,58287.31081076255,12195.0,New,Phnom Penh,White,76.9/85.4,500-610,180,3.9,Dealer,GB-T/CCS2,11/8/2025,Synthetic (New Formula)
Xiaomi,Xiaomi SU7,2025,73245.757331919,15330.0,Fair,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,Dealer,GB-T/CCS2,3/12/2024,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 6,2024,54071.90679148171,4425.0,Excellent,Sihanoukville,Grey,53/77.4,429-614,151,8.1,Dealer,GB-T/CCS2,26-11-2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2021,65207.886719229384,14476.0,Good,Phnom Penh,Silver,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,6/10/2024,Synthetic (New Formula)
Xiaomi,Xiaomi SU7,2024,77634.0322268285,2202.0,New,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,Dealer,GB-T/CCS2,3/12/2024,Synthetic (New Formula)
VinFast,VinFast VF 8,2025,41974.18270221487,11984.0,Excellent,Phnom Penh,White,82/87.5,420-500,150,5.5,Private,GB-T/CCS2,13-07-2024,Synthetic (New Formula)
AITO,AITO M5,2024,43219.50534831442,4170.0,Like New,Siem Reap,White,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,11/2/2023,Synthetic (New Formula)
Kia,Kia EV6,2024,49203.10252984268,17323.0,Good,Phnom Penh,White,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,25-10-2024,Synthetic (New Formula)
BYD,BYD Han,2024,55891.052233291724,0.0,Excellent,Phnom Penh,White,76.9/85.4,500-610,180,3.9,Dealer,GB-T/CCS2,12/5/2024,Synthetic (New Formula)
Avatr,Avatr 12,2025,68121.5451754616,39732.0,New,Phnom Penh,Silver,94.5,650,230,3.9,Dealer,GB-T/CCS2,14-07-2025,Synthetic (New Formula)
Avatr,Avatr 07,2025,50141.96074763839,35800.0,Like New,Preah Vihear,Black,62.2/100.5,420-621,190,4.9,Authorized Dealer,GB-T/CCS2,21-12-2024,Synthetic (New Formula)
BYD,BYD Seal,2022,36425.82076344162,14476.0,Excellent,Phnom Penh,Blue,61.4/82.5,400-550,150,3.8,Private,GB-T/CCS2,20-12-2022,Synthetic (New Formula)
BYD,BYD Sealion 6,2025,45720.472343016045,28730.0,New,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,Authorized Dealer,GB-T/CCS2,7/2/2024,Synthetic (New Formula)
MG,MG ZS EV,2024,27697.225429118953,8998.0,New,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,10/5/2025,Synthetic (New Formula)
VinFast,VinFast VF 6,2023,27694.07176814162,22770.0,Excellent,Kampong Cham,White,59.6,399,110,,Dealer,GB-T/CCS2,17-05-2024,Synthetic (New Formula)
MG,MG 4 EV,2023,25219.34636451638,11964.0,Like New,Phnom Penh,Grey,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,28-08-2022,Synthetic (New Formula)
Tesla,Tesla Model 3,2023,50668.259860771184,20482.0,Fair,Phnom Penh,Silver,60/82,430-576,208,6.1,Private,GB-T/CCS2,22-06-2020,Synthetic (New Formula)
BMW,BMW iX1,2023,60426.48823775589,28890.0,Like New,Siem Reap,White,64.7,417,150,8.6,Authorized Dealer,GB-T/CCS2,22-08-2023,Synthetic (New Formula)
Kia,Kia EV9,2025,78638.1028278504,45068.0,New,Phnom Penh,Cosmos Black,99.8,541,283,5.3,Dealer,GB-T/CCS2,15-08-2024,Synthetic (New Formula)
BYD,BYD Tang,2021,69024.07753943546,29880.0,New,Battambang,Black,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,23-07-2025,Synthetic (New Formula)
AITO,AITO M7,2024,61060.70765395936,38760.0,New,Siem Reap,Grey,40,200 PHEV,330,4.8,Private,GB-T/CCS2,10/10/2023,Synthetic (New Formula)
Kia,Kia EV9,2023,80150.92758859106,33263.0,Like New,Sihanoukville,White,99.8,541,283,5.3,Dealer,GB-T/CCS2,28-12-2023,Synthetic (New Formula)
AION,AION ES,2025,31718.04042575259,39558.0,Good,Siem Reap,Silver,55.6,410,150,7.5,Authorized Dealer,GB-T/CCS2,14-08-2025,Synthetic (New Formula)
BYD,BYD Sealion 6,2024,42224.904443810454,0.0,Good,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,Authorized Dealer,GB-T/CCS2,27-08-2024,Synthetic (New Formula)
VinFast,VinFast VF 9,2025,60265.07768379206,8736.0,Good,Siem Reap,Black,123,438,300,6.5,Private,GB-T/CCS2,21-07-2024,Synthetic (New Formula)
AITO,AITO M5,2022,46680.7994638331,9666.0,Excellent,Phnom Penh,Red,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,2/9/2022,Synthetic (New Formula)
Tesla,Tesla Model Y,2022,56007.830373279,0.0,Good,Battambang,Silver,60/75/82,430-600,220,6.9,Dealer,GB-T/CCS2,15-04-2023,Synthetic (New Formula)
Zeekr,Zeekr 001,2025,73352.17066033802,29682.0,Excellent,Kampot,White,86/100,560-620,200,3.3,Dealer,GB-T/CCS2,15-02-2025,Synthetic (New Formula)
BYD,BYD Sealion 7,2024,46026.44242370974,59940.0,New,Phnom Penh,Blue,71.8/91.3,460-567,230,4.5,Authorized Dealer,GB-T/CCS2,11/8/2025,Synthetic (New Formula)
Zeekr,Zeekr 001,2024,77138.45620852258,43475.0,Fair,Phnom Penh,Black,86/100,560-620,200,3.3,Authorized Dealer,GB-T/CCS2,3/10/2025,Synthetic (New Formula)
Kia,Kia EV5,2025,39677.869505529736,32032.0,Excellent,Preah Vihear,Grey,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,12/3/2023,Synthetic (New Formula)
BYD,BYD Tang,2024,61593.43898144078,0.0,New,Phnom Penh,Black,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,23-10-2020,Synthetic (New Formula)
Toyota,Toyota bZ4X,2021,49182.46389350286,11664.0,Like New,Phnom Penh,Blue,71.4,500,150,7.1,Private,GB-T/CCS2,18-09-2025,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2025,12996.515646075324,39732.0,New,Siem Reap,Grey,41.3,403,80,,Authorized Dealer,GB-T/CCS2,1/8/2022,Synthetic (New Formula)
Toyota,Toyota bZ4X,2024,43540.39372862898,0.0,Excellent,Siem Reap,Grey,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,21-01-2025,Synthetic (New Formula)
Mercedes,Mercedes EQB,2022,66976.81518049279,10197.0,Like New,Phnom Penh,Blue,66.5,419,168,8.0,Dealer,GB-T/CCS2,14-05-2025,Synthetic (New Formula)
MG,MG 4 EV,2024,24228.736596564882,3300.0,Like New,Siem Reap,Silver,51/64/77,350-520,125,7.7,Authorized Dealer,GB-T/CCS2,3/5/2022,Synthetic (New Formula)
BYD,BYD Seal,2024,38611.8205848428,22480.0,Like New,Sihanoukville,Grey,61.4/82.5,400-550,150,3.8,Private,GB-T/CCS2,18-02-2025,Synthetic (New Formula)
XPeng,XPeng G6,2023,46534.35739134707,24248.0,New,Kampot,Blue,66/87.5,435-570,190,6.2,Dealer,GB-T/CCS2,13-04-2024,Synthetic (New Formula)
Avatr,Avatr 07,2025,43875.040699946025,4230.0,New,Phnom Penh,Cosmos Black,62.2/100.5,420-621,190,4.9,Dealer,GB-T/CCS2,2/6/2024,Synthetic (New Formula)
Mercedes,Mercedes EQB,2025,65934.73098844435,37296.0,Good,Phnom Penh,Silver,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,24-01-2023,Synthetic (New Formula)
MG,MG 5,2025,23275.255686363682,43989.0,New,Siem Reap,Blue,61.1,403,130,7.7,Dealer,GB-T/CCS2,6/2/2024,Synthetic (New Formula)
AITO,AITO M5,2025,43605.116152838826,11718.0,Good,Phnom Penh,Red,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,13-01-2024,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2024,12767.152246271091,7504.0,Like New,Siem Reap,Grey,41.3,403,80,,Authorized Dealer,GB-T/CCS2,1/8/2022,Synthetic (New Formula)
AITO,AITO M7,2024,57461.10500361263,10881.0,Like New,Battambang,Grey,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,18-01-2025,Synthetic (New Formula)
Kia,Kia EV6,2024,47115.17550678575,960.0,Excellent,Phnom Penh,White,77.4,484,168,7.1,Private,GB-T/CCS2,18-02-2023,Synthetic (New Formula)
Toyota,Toyota bZ4X,2025,45491.382310739384,13787.0,New,Sihanoukville,Black,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,11/3/2022,Synthetic (New Formula)
Zeekr,Zeekr X,2025,52169.804964303345,5316.0,Good,Phnom Penh,Red,66,440,200,5.6,Authorized Dealer,GB-T/CCS2,2/6/2023,Synthetic (New Formula)
BYD,BYD Tang,2024,63238.927015575,14476.0,Fair,Sihanoukville,Silver,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,5/5/2021,Synthetic (New Formula)
BYD,BYD Atto 3,2025,29420.594134944153,22770.0,Like New,Siem Reap,White,50/60.5,340-420,150,7.3,Dealer,GB-T/CCS2,24-01-2025,Synthetic (New Formula)
Tesla,Tesla Model Y,2025,58666.696469120616,15521.0,Fair,Siem Reap,Red,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,8/4/2021,Synthetic (New Formula)
Kia,Kia EV6,2025,50005.145449656215,26625.0,Good,Phnom Penh,Grey,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,19-03-2022,Synthetic (New Formula)
BMW,BMW iX1,2025,61938.68877068666,59472.0,New,Siem Reap,Black,64.7,417,150,8.6,Authorized Dealer,GB-T/CCS2,14-05-2023,Synthetic (New Formula)
Tesla,Tesla Model Y,2025,59348.58990042599,26992.0,Excellent,Siem Reap,Red,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,8/4/2021,Synthetic (New Formula)
VinFast,VinFast VF 8,2025,46693.26813591957,34304.0,Excellent,Phnom Penh,White,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,15-12-2022,Synthetic (New Formula)
MG,MG 5,2025,22706.530452765433,52871.0,Good,Battambang,Red,61.1,403,130,7.7,Private,GB-T/CCS2,13-05-2021,Synthetic (New Formula)
MG,MG 4 EV,2024,25870.714305026613,8630.0,Good,Phnom Penh,White,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,27-07-2024,Synthetic (New Formula)
Xiaomi,Xiaomi SU7,2021,81731.27315347998,30740.0,New,Phnom Penh,Black,73.6/94.3,495-830,220,5.3,Private,GB-T/CCS2,3/6/2024,Synthetic (New Formula)
BMW,BMW iX1,2021,63405.86152990684,27175.0,New,Sihanoukville,Silver,64.7,417,150,8.6,Authorized Dealer,GB-T/CCS2,12/4/2024,Synthetic (New Formula)
AITO,AITO M7,2024,60316.38569562978,7434.0,New,Kampong Cham,Grey,40,200 PHEV,330,4.8,Dealer,GB-T/CCS2,20-08-2022,Synthetic (New Formula)
Nissan,Nissan Leaf,2024,30262.733775522098,26900.0,Fair,Phnom Penh,White,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,22-08-2022,Synthetic (New Formula)
MG,MG 5,2022,22335.123389818564,3376.0,Excellent,Siem Reap,Blue,61.1,403,130,7.7,Dealer,GB-T/CCS2,6/2/2024,Synthetic (New Formula)
Mercedes,Mercedes EQB,2025,64744.72336630669,29841.0,Good,Phnom Penh,Silver,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,24-01-2023,Synthetic (New Formula)
AION,AION ES,2024,29445.311507976912,0.0,Excellent,Phnom Penh,Silver,55.6,410,150,7.5,Authorized Dealer,GB-T/CCS2,24-03-2024,Synthetic (New Formula)
AION,AION Y Plus,2022,35123.81230293652,9900.0,Like New,Phnom Penh,Black,51.9/63.9,410-510,150,7.8,Private,GB-T/CCS2,4/4/2025,Synthetic (New Formula)
Tesla,Tesla Model Y,2023,63702.01079384549,45068.0,Good,Phnom Penh,White,60/75/82,430-600,220,6.9,Dealer,GB-T/CCS2,16-11-2024,Synthetic (New Formula)
Zeekr,Zeekr 007,2022,65374.879385244414,14196.0,Excellent,Phnom Penh,Blue,75/100,530-688,310,3.5,Dealer,GB-T/CCS2,16-12-2024,Synthetic (New Formula)
Zeekr,Zeekr 001,2024,81401.95258445342,50820.0,Like New,Phnom Penh,Black,86/100,560-620,200,3.3,Authorized Dealer,GB-T/CCS2,3/10/2025,Synthetic (New Formula)
AION,AION V,2024,38840.85966851441,11964.0,New,Phnom Penh,Silver,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,7/6/2024,Synthetic (New Formula)
BYD,BYD Dolphin,2023,28827.501457086062,63056.0,New,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,3/4/2023,Synthetic (New Formula)
AION,AION V,2025,39711.45930863835,35938.0,New,Phnom Penh,Silver,68.8/80,480-610,165,7.1,Dealer,GB-T/CCS2,7/6/2024,Synthetic (New Formula)
AITO,AITO M7,2022,63756.68507435233,26675.0,New,Siem Reap,White,40,200 PHEV,330,4.8,Private,GB-T/CCS2,11/1/2023,Synthetic (New Formula)
BYD,BYD Sealion 6,2020,51691.618689655654,25885.0,Fair,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,Authorized Dealer,GB-T/CCS2,28-09-2025,Synthetic (New Formula)
Tesla,Tesla Model 3,2025,44942.66532806939,4680.0,Excellent,Phnom Penh,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,9/12/2020,Synthetic (New Formula)
BYD,BYD Dolphin,2020,29276.380307099473,20957.0,New,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,21-05-2022,Synthetic (New Formula)
BYD,BYD Sealion 7,2023,41647.34494075037,0.0,New,Siem Reap,Green,71.8/91.3,460-567,230,4.5,Authorized Dealer,GB-T/CCS2,25-09-2024,Synthetic (New Formula)
AITO,AITO M7,2025,57565.59541934347,11304.0,Excellent,Phnom Penh,White,40,200 PHEV,330,4.8,Authorized Dealer,GB-T/CCS2,5/2/2022,Synthetic (New Formula)
Zeekr,Zeekr X,2025,55579.5138406246,28440.0,Like New,Phnom Penh,Red,66,440,200,5.6,Authorized Dealer,GB-T/CCS2,11/12/2023,Synthetic (New Formula)
BYD,BYD M9,2020,66115.47649103015,3704.0,Like New,Phnom Penh,Blue,52,180 PHEV,180,,Authorized Dealer,GB-T/CCS2,11/4/2025,Synthetic (New Formula)
BYD,BYD M9,2024,62048.13564573971,17816.0,Excellent,Phnom Penh,Black,52,180 PHEV,180,,Private,GB-T/CCS2,4/7/2025,Synthetic (New Formula)
Arcfox,Arcfox Koala S,2022,33541.55352615623,54510.0,Excellent,Phnom Penh,Silver,42.8,301,120,8.5,Dealer,GB-T/CCS2,16-08-2025,Synthetic (New Formula)
AION,AION Y Plus,2024,36495.33469318946,44935.0,Excellent,Phnom Penh,Blue,51.9/63.9,410-510,150,7.8,Authorized Dealer,GB-T/CCS2,24-04-2024,Synthetic (New Formula)
BYD,BYD Dolphin,2023,25513.73735269395,12480.0,New,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,3/5/2025,Synthetic (New Formula)
BYD,BYD Sealion 6,2025,47639.09944226743,37296.0,Good,Phnom Penh,Silver,18.3,80-100 PHEV,145,8.5,Dealer,GB-T/CCS2,5/9/2023,Synthetic (New Formula)
BYD,BYD Atto 3,2023,31930.80567353543,28106.0,New,Battambang,White,50/60.5,340-420,150,7.3,Authorized Dealer,GB-T/CCS2,8/5/2024,Synthetic (New Formula)
Kia,Kia EV6,2024,48109.93364546825,14882.0,New,Phnom Penh,Grey,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,19-03-2022,Synthetic (New Formula)
Kia,Kia EV5,2021,39450.10058970311,12265.0,Good,Phnom Penh,Silver,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,28-06-2023,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2022,43212.241370265576,0.0,Fair,Sihanoukville,White,58/72.6,354-488,125,7.4,Authorized Dealer,GB-T/CCS2,8/5/2025,Synthetic (New Formula)
Tesla,Tesla Model 3,2023,44460.18319330078,0.0,Excellent,Battambang,Grey,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,19-10-2022,Synthetic (New Formula)
BYD,BYD Tang,2023,65135.81334463975,1185.0,Like New,Battambang,White,86.4/108.8,400-530,180,4.6,Private,GB-T/CCS2,10/4/2025,Synthetic (New Formula)
MG,MG 5,2024,23331.452479455384,30996.0,New,Battambang,Red,61.1,403,130,7.7,Private,GB-T/CCS2,13-05-2021,Synthetic (New Formula)
Xiaomi,Xiaomi SU7,2023,85341.8827313014,59472.0,Excellent,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,Dealer,GB-T/CCS2,3/12/2024,Synthetic (New Formula)
Leapmotor,Leapmotor T03,2022,13830.184176262088,1033.0,Like New,Battambang,Blue,41.3,403,80,,Authorized Dealer,GB-T/CCS2,11/4/2024,Synthetic (New Formula)
Zeekr,Zeekr 001,2022,85800.79425718711,46942.0,New,Phnom Penh,White,86/100,560-620,200,3.3,Private,GB-T/CCS2,19-01-2024,Synthetic (New Formula)
Avatr,Avatr 11,2024,65108.59031587134,0.0,New,Phnom Penh,Red,90/116,555-700,230,3.9,Authorized Dealer,GB-T/CCS2,19-07-2024,Synthetic (New Formula)
BYD,BYD Seal,2024,41175.146272963444,43512.0,Like New,Sihanoukville,White,61.4/82.5,400-550,150,3.8,Dealer,GB-T/CCS2,2/11/2023,Synthetic (New Formula)
BYD,BYD Sealion 6,2022,46552.426443957214,5535.0,Good,Phnom Penh,Black,18.3,80-100 PHEV,145,8.5,Authorized Dealer,GB-T/CCS2,27-08-2024,Synthetic (New Formula)
BYD,BYD Atto 3,2025,28127.940381652606,0.0,Excellent,Kampong Cham,Silver,50/60.5,340-420,150,7.3,Dealer,GB-T/CCS2,13-10-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2024,44970.69876812638,8272.0,Good,Battambang,Grey,60/82,430-576,208,6.1,Authorized Dealer,GB-T/CCS2,19-10-2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2025,71760.77755486239,56880.0,Good,Phnom Penh,White,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,11/12/2021,Synthetic (New Formula)
BYD,BYD Seal,2025,38408.25971273358,37398.0,Like New,Sihanoukville,White,61.4/82.5,400-550,150,3.8,Dealer,GB-T/CCS2,2/11/2023,Synthetic (New Formula)
BYD,BYD Han,2022,62830.70414101957,14926.0,Excellent,Kampot,White,76.9/85.4,500-610,180,3.9,Private,GB-T/CCS2,26-12-2020,Synthetic (New Formula)
AITO,AITO M5,2022,49824.057672741896,38991.0,Excellent,Battambang,White,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,11/11/2023,Synthetic (New Formula)
Zeekr,Zeekr 007,2024,68222.82363920203,35039.0,Excellent,Preah Vihear,Grey,75/100,530-688,310,3.5,Authorized Dealer,GB-T/CCS2,16-09-2024,Synthetic (New Formula)
Zeekr,Zeekr 001,2025,71619.11437120035,12480.0,New,Battambang,Silver,86/100,560-620,200,3.3,Authorized Dealer,GB-T/CCS2,18-03-2022,Synthetic (New Formula)
Toyota,Toyota bZ4X,2022,44674.76634889643,0.0,New,Siem Reap,Grey,71.4,500,150,7.1,Authorized Dealer,GB-T/CCS2,21-01-2025,Synthetic (New Formula)
BYD,BYD Dolphin,2023,24868.97416141868,11154.0,Excellent,Phnom Penh,Silver,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,21-05-2022,Synthetic (New Formula)
MG,MG ZS EV,2025,29432.24933615539,25146.0,Like New,Phnom Penh,White,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,10/1/2025,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,40719.765129411615,21720.0,New,Phnom Penh,Black,58/72.6,354-488,125,7.4,Dealer,GB-T/CCS2,24-07-2023,Synthetic (New Formula)
Kia,Kia EV5,2024,36822.91056717311,20540.0,Excellent,Phnom Penh,Silver,64.2/88,400-600,160,7.5,Dealer,GB-T/CCS2,28-06-2023,Synthetic (New Formula)
Denza,Denza D9,2020,90277.89912076568,18432.0,Excellent,Phnom Penh,Grey,103,600,230,6.9,Private,GB-T/CCS2,28-10-2022,Synthetic (New Formula)
Tesla,Tesla Model Y,2022,67456.97570177336,32032.0,New,Phnom Penh,White,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,24-01-2025,Synthetic (New Formula)
Zeekr,Zeekr 007,2025,60900.85259707839,14008.0,Excellent,Phnom Penh,Blue,75/100,530-688,310,3.5,Dealer,GB-T/CCS2,16-12-2024,Synthetic (New Formula)
AITO,AITO M7,2024,62553.6804515906,33694.0,Like New,Sihanoukville,Silver,40,200 PHEV,330,4.8,Authorized Dealer,GB-T/CCS2,17-07-2023,Synthetic (New Formula)
Tesla,Tesla Model 3,2022,47475.1362552432,9666.0,New,Battambang,Grey,60/82,430-576,208,6.1,Dealer,GB-T/CCS2,20-08-2025,Synthetic (New Formula)
AITO,AITO M5,2021,51540.39505016633,31745.0,Like New,Phnom Penh,Black,40,200 PHEV,200,4.8,Private,GB-T/CCS2,17-04-2025,Synthetic (New Formula)
BMW,BMW iX1,2024,57277.898791179505,8998.0,Fair,Siem Reap,Grey,64.7,417,150,8.6,Dealer,GB-T/CCS2,19-10-2024,Synthetic (New Formula)
Deepal,Deepal S07,2025,53200.58677667783,31426.0,Like New,Phnom Penh,Silver,31.6/80,200 PHEV,190,6.7,Private,GB-T/CCS2,20-06-2024,Synthetic (New Formula)
AION,AION Y Plus,2025,34681.33994066009,14922.0,New,Phnom Penh,Silver,51.9/63.9,410-510,150,7.8,Authorized Dealer,GB-T/CCS2,2/1/2025,Synthetic (New Formula)
BMW,BMW iX1,2021,57910.66281029795,8760.0,Like New,Phnom Penh,Red,64.7,417,150,8.6,Dealer,GB-T/CCS2,4/12/2022,Synthetic (New Formula)
Avatr,Avatr 11,2025,69772.49644631671,30336.0,New,Sihanoukville,Green,90/116,555-700,230,3.9,Dealer,GB-T/CCS2,4/11/2022,Synthetic (New Formula)
Kia,Kia EV9,2022,83497.99554070928,12950.0,Excellent,Phnom Penh,Silver,99.8,541,283,5.3,Private,GB-T/CCS2,26-02-2024,Synthetic (New Formula)
VinFast,VinFast VF 9,2025,65092.750736063164,3316.0,Excellent,Phnom Penh,Silver,123,438,300,6.5,Authorized Dealer,GB-T/CCS2,18-05-2022,Synthetic (New Formula)
VinFast,VinFast VF 9,2021,75942.58162519026,17238.0,Fair,Kampong Cham,White,123,438,300,6.5,Authorized Dealer,GB-T/CCS2,17-11-2022,Synthetic (New Formula)
Mercedes,Mercedes EQB,2023,68276.99887852346,37128.0,Good,Kampot,White,66.5,419,168,8.0,Dealer,GB-T/CCS2,28-08-2025,Synthetic (New Formula)
Nissan,Nissan Leaf,2023,29163.24102102496,29400.0,Good,Phnom Penh,Red,40/62,240-385,110,7.0,Dealer,GB-T/CCS2,15-07-2025,Synthetic (New Formula)
MG,MG ZS EV,2025,26562.999362273134,4250.0,Fair,Phnom Penh,White,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,21-01-2022,Synthetic (New Formula)
AION,AION ES,2024,32295.25858562602,29316.0,New,Phnom Penh,White,55.6,410,150,7.5,Dealer,GB-T/CCS2,16-02-2025,Synthetic (New Formula)
Denza,Denza D9,2022,83583.97646702644,1033.0,Like New,Phnom Penh,Cosmos Black,103,600,230,6.9,Authorized Dealer,GB-T/CCS2,10/4/2023,Synthetic (New Formula)
Tesla,Tesla Model Y,2023,60048.14048939132,14235.0,New,Phnom Penh,Cosmos Black,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,2/1/2023,Synthetic (New Formula)
VinFast,VinFast VF 8,2021,46817.44515623905,35938.0,New,Phnom Penh,Red,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,22-10-2022,Synthetic (New Formula)
Tesla,Tesla Model Y,2024,63931.73893972156,34340.0,New,Phnom Penh,Silver,60/75/82,430-600,220,6.9,Authorized Dealer,GB-T/CCS2,10/10/2023,Synthetic (New Formula)
VinFast,VinFast VF 9,2024,62293.11586490548,0.0,Good,Kampong Cham,Silver,123,438,300,6.5,Private,GB-T/CCS2,6/10/2024,Synthetic (New Formula)
VinFast,VinFast VF 6,2023,26834.637937632244,11412.0,Like New,Kampong Cham,White,59.6,399,110,,Dealer,GB-T/CCS2,17-05-2024,Synthetic (New Formula)
Avatr,Avatr 12,2025,72200.40528481826,39732.0,New,Phnom Penh,Silver,94.5,650,230,3.9,Dealer,GB-T/CCS2,14-07-2025,Synthetic (New Formula)
AION,AION Y Plus,2022,36470.019744074474,17824.0,Excellent,Phnom Penh,Blue,51.9/63.9,410-510,150,7.8,Private,GB-T/CCS2,9/7/2024,Synthetic (New Formula)
AITO,AITO M5,2024,45102.91041934524,1062.0,Excellent,Siem Reap,White,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,11/2/2023,Synthetic (New Formula)
MG,MG 5,2025,21419.31468444025,16928.0,Excellent,Sihanoukville,Silver,61.1,403,130,7.7,Authorized Dealer,GB-T/CCS2,22-03-2020,Synthetic (New Formula)
Tesla,Tesla Model Y,2022,58556.63151149735,11664.0,New,Phnom Penh,White,60/75/82,430-600,220,6.9,Private,GB-T/CCS2,14-05-2022,Synthetic (New Formula)
AITO,AITO M5,2022,47933.29311436824,20196.0,New,Kampong Cham,Black,40,200 PHEV,200,4.8,Private,GB-T/CCS2,10/3/2022,Synthetic (New Formula)
BYD,BYD Sealion 7,2022,40692.92120825371,0.0,Good,Battambang,Black,71.8/91.3,460-567,230,4.5,Private,GB-T/CCS2,24-06-2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2021,53214.35814720416,56880.0,Excellent,Phnom Penh,Silver,60/82,430-576,208,6.1,Private,GB-T/CCS2,22-06-2020,Synthetic (New Formula)
Denza,Denza D9,2025,82691.44032253316,2238.0,New,Phnom Penh,Silver,103,600,230,6.9,Authorized Dealer,GB-T/CCS2,18-10-2023,Synthetic (New Formula)
MG,MG ZS EV,2025,28485.851868439226,16966.0,Good,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,10/5/2025,Synthetic (New Formula)
Toyota,Toyota bZ5,2022,41283.17410139108,9207.0,Excellent,Kep,White,71.2,630,180,6.8,Private,GB-T/CCS2,27-07-2025,Synthetic (New Formula)
Denza,Denza D9,2024,87524.68333860075,41750.0,New,Phnom Penh,Blue,103,600,230,6.9,Dealer,GB-T/CCS2,8/10/2024,Synthetic (New Formula)
MG,MG 4 EV,2023,25684.06868016746,9031.0,New,Siem Reap,Silver,51/64/77,350-520,125,7.7,Dealer,GB-T/CCS2,15-07-2023,Synthetic (New Formula)
